imdb_id,title,year,genres,rating,votes,actors,directors,tags,score
tt15509266,Spy,2023,"Action, Thriller",4.7,4403.0,"Nikhil Siddharth, Iswarya Menon, Aryan Rajesh, Abhinav Gomatam, Sanya Thakur",Garry Bh,action thriller action thriller action thriller garry bh garry bh nikhil siddharth iswarya menon aryan rajesh abhinav gomatam sanya thakur,6.199631975539868
tt15509564,Ranga Ranga Vaibhavanga,2022,"Comedy, Drama, Romance",5.4,1234.0,"Panja Vaisshnav Tej, Ketika Sharma, Naveen Chandra, Prabhu, Tulasi",Gireesaaya,comedy drama romance comedy drama romance comedy drama romance gireesaaya gireesaaya panja vaisshnav tej ketika sharma naveen chandra prabhu tulasi,6.290030699597505
tt15509662,Nallamala,2022,"Action, Drama, History",7.4,1476.0,"Amit Tiwari, Nassar, Prabhakar, Ajay Ghosh, Tanikella Bharani",Ravi Charan,action drama history action drama history action drama history ravi charan ravi charan amit tiwari nassar prabhakar ajay ghosh tanikella bharani,6.333908996177856
tt15509688,Ennalum Ente Aliya,2023,Comedy,5.5,1082.0,"Suraj Venjaramoodu, Siddique, Lenaa, Sudheer Paravoor, Gayathri Arun",Bash Mohammed,comedy comedy comedy bash mohammed bash mohammed suraj venjaramoodu siddique lenaa sudheer paravoor gayathri arun,6.293959503356144
tt15512754,Beline,2024,"Drama, Mystery, Thriller",5.4,1086.0,"Paran Banerjee, Sreya Bhattacharya, Tathagata Mukherjee, Sayan Ghosh, Sandeep Bhattacharya",Samik Roy Choudhury,drama mystery thriller drama mystery thriller drama mystery thriller samik roy choudhury samik roy choudhury paran banerjee sreya bhattacharya tathagata mukherjee sayan ghosh sandeep bhattacharya,6.2921560345906755
tt15516018,Wedding Gift,2022,"Drama, Thriller",8.6,1541.0,"Sonu Gowda, Achyuth Kumar, Pavitra Lokesh, Nishan Nanaiah, Prema",Vikram Prabhu,drama thriller drama thriller drama thriller vikram prabhu vikram prabhu sonu gowda achyuth kumar pavitra lokesh nishan nanaiah prema,6.364637749129984
tt15516226,Chhatriwali,2023,"Comedy, Drama",6.6,11277.0,"Rakul Preet Singh, Sumeet Vyas, Satish Kaushik, Dolly Ahluwalia, Rajesh Tailang",Tejas Prabha Vijay Deoskar,comedy drama comedy drama comedy drama tejas prabha vijay deoskar tejas prabha vijay deoskar rakul preet singh sumeet vyas satish kaushik dolly ahluwalia rajesh tailang,6.353684148731898
tt15516546,Ela Veezha Poonchira,2022,"Crime, Mystery, Thriller",7.3,3315.0,"Soubin Shahir, Sudhi Koppa, Jude Anthany Joseph, Jithu Ashraf, Vincent Vadakkan",Shahi Kabir,crime mystery thriller crime mystery thriller crime mystery thriller shahi kabir shahi kabir soubin shahir sudhi koppa jude anthany joseph jithu ashraf vincent vadakkan,6.359280606954348
tt15516726,Selfiee,2023,"Action, Comedy, Drama",5.7,14902.0,"Akshay Kumar, Emraan Hashmi, Mrunal Thakur, Nushrratt Bharuccha, Adah Sharma",Raj Mehta,action comedy drama action comedy drama action comedy drama raj mehta raj mehta akshay kumar emraan hashmi mrunal thakur nushrratt bharuccha adah sharma,6.188514560812588
tt15521050,Love & Gelato,2022,"Comedy, Drama, Romance",5.2,7363.0,"Susanna Skaggs, Tobia De Angelis, Owen McDonnell, Valentina Lodovini, Saul Nanni",Brandon Camp,comedy drama romance comedy drama romance comedy drama romance brandon camp brandon camp susanna skaggs tobia de angelis owen mcdonnell valentina lodovini saul nanni,6.188535237228924
